,url,title,author,text,results,score<br>
0,https://poets.org/poem/chemo-room-i-wear-mittens-made-ice-so-i-dont-lose-my-fingernails-i-took-risk-today-write-down,"In the chemo room, I wear mittens made of ice so I don’t lose my fingernails. But I took a risk today to write this down.",Andrea Gibson,"Whenever I spend the day crying,<br>
my friends tell me I look high. Good grief,<br>
they finally understand me.<br>
for the shots I miss. If you ever catch me<br>
remind me I’m not thanking god. Remind me<br>
the moment I started praying<br>
for what I already have.<br>
Jenny says when people ask if she’s out of the woods,<br>
says there is something lovely about the woods.<br>
from fallen tree branches, packed mud,<br>
and pulled moss. I could survive forever<br>
on death alone. Wasn’t it death that taught me<br>
but by width? Do you know how many beautiful things<br>
a second like a balloon and fit infinity inside of it?<br>
collection compared to my end goal. I would love<br>
and mistake my head for the moon. My dark<br>
from me believing them. I love this life,<br>
so she can hear my heart. My heart, an heirloom<br>
Why did I go so long believing I owed the world<br>
the world by storm when I could have taken it<br>
on the side of the road where I broke down?<br>
I’m not about to waste more time<br>
spinning stories about how much time<br>
I’m owed, but there is a man<br>
who is usually here, who isn’t today.<br>
I don’t know if he’s still alive. I just know<br>
his wife was made of so much hope<br>
she looked like a firework above his chair.<br>
Will the afterlife be harder if I remember<br>
the people I love, or forget them?<br>
Either way, please let me remember.",POSITIVE,0.9919753670692444<br>
1,https://poets.org/poem/joy-and-sorrow,On Joy and Sorrow,Kahlil Gibran,"Then a woman said, Speak to us of Joy and Sorrow.<br>
And he answered:<br>
Your joy is your sorrow unmasked.<br>
And the selfsame well from which your laughter rises was oftentimes filled with your tears.<br>
And how else can it be?<br>
The deeper that sorrow carves into your being, the more joy you can contain.<br>
Is not the cup that holds your wine the very cup that was burned in the potter’s oven?<br>
And is not the lute that soothes your spirit, the very wood that was hollowed with knives?<br>
When you are joyous, look deep into your heart and you shall find it is only that which has given you sorrow that is giving you joy.<br>
When you are sorrowful look again in your heart, and you shall see that in truth you are weeping for that which has been your delight.<br>
Some of you say, “Joy is greater than sorrow,” and others say, “Nay, sorrow is the greater.”<br>
But I say unto you, they are inseparable.<br>
Together they come, and when one sits alone with you at your board, remember that the other is asleep upon your bed.<br>
Verily you are suspended like scales between your sorrow and your joy.<br>
Only when you are empty are you at standstill and balanced.<br>
When the treasure-keeper lifts you to weigh his gold and his silver, needs must your joy or your sorrow rise or fall.",POSITIVE,0.9928421974182129<br>
2,https://poets.org/poem/i-hear-army,I Hear an Army,James Joyce,"I hear an army charging upon the land,   <br>
  And the thunder of horses plunging, foam about their knees:   <br>
Arrogant, in black armour, behind them stand,   <br>
  Disdaining the reins, with fluttering whips, the charioteers.   <br>
   <br>
They cry unto the night their battle-name:        <br>
  I moan in sleep when I hear afar their whirling laughter.   <br>
They cleave the gloom of dreams, a blinding flame,   <br>
  Clanging, clanging upon the heart as upon an anvil.   <br>
   <br>
They come shaking in triumph their long, green hair:   <br>
  They come out of the sea and run shouting by the shore. <br>
My heart, have you no wisdom thus to despair?   <br>
  My love, my love, my love, why have you left me alone?",POSITIVE,0.544282078742981<br>
3,https://poets.org/poem/poem-26,Poem,Langston Hughes,"He went away from me.<br>
There’s nothing more to say.<br>
The poem ends,<br>
Soft as it began,—<br>
I loved my friend.",POSITIVE,0.998801589012146<br>
5,https://poets.org/poem/never-admit-your-mistakes,Never Admit Your Mistakes,Deborah Hauser,"I text my yoga teacher: I think I need<br>
to start medication. I meant<br>
meditation, but the subconscious<br>
knows best. I once wrote a whole poem<br>
about the angel of penetration<br>
rather than admit in my haste<br>
I meant angle of penetration.<br>
Either way, a virgin ascends.<br>
I return a can of paint to the store<br>
because I can’t manage any more<br>
pain, I meant paint. I mean pain.<br>
I keep going back for pain samples<br>
I don’t need. I have gallons of different<br>
shades stored in the basement. Enough<br>
for a fresh coat every year. I don’t take<br>
the medication. There’s nothing worse<br>
than a dull coat of pain. I prefer it<br>
bright and sharp.",NEGATIVE,0.9220120906829834<br>
6,https://poets.org/poem/fridas-earth-mother,Frida’s Earth Mother,Yusef Komunyakaa,"I can say I didn’t kiss a stone frog<br>
before I entered their blue house<br>
for the third time in seven years.<br>
Was there a plea before I said<br>
“Do I dare sit in the ghostly chair<br>
in a big room of unnatural things,<br>
hearing ‘How shall I make you cry?’”<br>
Her warmth could be in raw wood<br>
& metal remembering her shape,<br>
or the true weight of Diego’s arms<br>
around her, a dance to take away<br>
hurt in memory, as a double wing<br>
revealed the Aztec temple I’d mount<br>
if I stood up straight. But to descend<br>
was to sit down fast on my backside.<br>
Did I know balance from how Frida<br>
had risen to see her double world?<br>
Yes, she did not come to say, “Look,<br>
I am dreams painted onto the skin,”<br>
as she stood in a looking glass. Love<br>
rose before her—woman or man—<br>
as one’s body leaned on a promise,<br>
outside the green house where her<br>
lover, Leon Trotsky, was murdered.<br>
For her, an idea or a hue were flesh.<br>
Yes, as a young woman who knew<br>
steel, she had been deeply hurt.<br>
Now, one could gaze at her studio<br>
at the end of the bridge high-up<br>
across from Diego, & one could see<br>
her in a wheelchair rolling across.<br>
Now, ask why he sold her painted<br>
visions to his rich lover, as if time<br>
could let go of her mother earth.<br>
She could also paint a dark, salty<br>
blood of surreal skies & wet soil.<br>
Did she brood over dewy blooms<br>
with a knowledge of her ancients,<br>
saying, I do not wish to see my body<br>
forever pierced by some iron spear.<br>
She painted mother-wit lying on<br>
her back, casting it all in a mirror,<br>
but was it her or Diego declaring,<br>
“I feel I am murdered by love?”",NEGATIVE,0.8950214385986328<br>
8,https://poets.org/poem/while-playing-harp,While Playing the Harp,Han Yong-un,"Wishing to forget my sad thoughts,<br>
I played the harp under the moon.<br>
Before the dancing melody died,<br>
The wet tears had covered my face.<br>
And the night became a sea,<br>
And the strings of the harp were a rainbow,<br>
And when the sound of the harp became high, thin, very thin, and high,<br>
You became the plectron leaping, over the strings of the harp.<br>
As the last sound followed the wind through the shadowy trees,<br>
You looked at me with strength gone, and faded,<br>
closing your blurred eyes,<br>
Ah! ah! you followed the dying sound of the harp, and faded,<br>
closing your blurred eyes.<br>
달 아래에서 거문고를 타기는 근심을 잊을까 함이러니<br>
첫 곡조가 끝나기 전에 눈물이 앞을 가려서<br>
밤은 바다가 되고 거문고줄은 무지개가 됩니다.<br>
거문고 소리가 높았다가 가늘고 느티나무 그늘로 사라질 때에<br>
당신은 나를 힘없이 보면서 아득한 눈을 감았습니다.<br>
아아 당신은 사라지는 거문고 소리를 따라서 아득한 눈을 감습니다",NEGATIVE,0.9801319241523743<br>
9,https://poets.org/poem/he-made-me-sing,He Made Me Sing,Gertrude P. McBrown,"God knew I’d struggled lone and long,<br>
He heard me crying in the night;<br>
He knew I was not strong<br>
Enough to carry out the fight,<br>
So he drew me from the noisy throng;<br>
And breathed into my soul a song.",POSITIVE,0.9955311417579651<br>
11,https://poets.org/poem/vas-doloris,Vas Doloris,Julián del Casal,"I come from the remote borders<br>
of the land of oblivion. My songs<br>
will not sound beneath your balconies,<br>
I am the singer of the broken sanctuaries.<br>
Artist, dreamer, sensitive and tender,<br>
my music is a voice of affirmation . . .<br>
I am like a winter twilight<br>
in love’s garden.<br>
I love the fire of the sun. My delights are<br>
the flaming rose, the bleeding pink,<br>
and I love the white swans on the lakes<br>
and the blue clouds in the wind.<br>
I love the sad—for life is Pain—<br>
I love your black half-opened eyes<br>
fixed in an unknown direction<br>
where dead loves are forgotten.<br>
I know full well that love is sleep . . .<br>
and my soul sleepless. You are not<br>
to blame for my sorrow. You are a dream . . .<br>
I call you when I wake and you do not come!<br>
You can come only as does death,<br>
silent and fatal. You are anxiety,<br>
no matter, come; my heart is strong . . .<br>
Shed your petals in my hands, faded rose.<br>
I knew in my dreams that love is good<br>
and today, impenitent, a rebel against love,<br>
I weep upon the lilies of your breast<br>
and kiss you on the forehead.",POSITIVE,0.9952660799026489<br>
12,https://poets.org/poem/instead-depression,Instead of Depression,Andrea Gibson,"try calling it hibernation.<br>
Imagine the darkness is a cave<br>
in which you will be nurtured<br>
by doing absolutely nothing.<br>
Hibernating animals don’t even dream.<br>
It’s okay if you can’t imagine<br>
Spring. Sleep through the alarm<br>
of the world. Name your hopelessness<br>
a quiet hollow, a place you go<br>
to heal, a den you dug,<br>
Sweetheart, instead<br>
of a grave.",NEGATIVE,0.9126974940299988<br>
